"","SubjIdx","BlockIndex","BlockTrial","TrialIndex","Condition","Cue","Correct","Rt","Error","AbsError","UncertaintyImage"
"160","0","4","16","160","incongruent","blue",1,622,5,5,2
"161","0","4","17","161","incongruent","red",1,739,-27,27,8
"162","0","4","18","162","incongruent","blue",1,674,27,27,11
"163","0","4","19","163","incongruent","red",1,445,8,8,13
"164","0","4","20","164","congruent","blue",1,505,15,15,4
"165","0","4","21","165","incongruent","green",1,608,-6,6,9
"166","0","4","22","166","congruent","blue",1,606,12,12,8
"167","0","4","23","167","congruent","green",1,461,-5,5,2
"168","0","4","24","168","congruent","red",1,378,4,4,2
"169","0","4","25","169","incongruent","green",1,606,3,3,NA
"170","0","4","26","170","incongruent","green",1,989,15,15,NA
"171","0","4","27","171","congruent","green",1,530,-7,7,NA
"172","0","4","28","172","incongruent","red",1,661,9,9,4
"173","0","4","29","173","congruent","blue",1,587,11,11,6
"174","0","4","30","174","congruent","blue",1,402,-9,9,NA
"175","0","4","31","175","congruent","blue",1,573,22,22,6
"176","0","4","32","176","incongruent","blue",1,549,-3,3,6
"177","0","4","33","177","incongruent","blue",1,408,3,3,6
"178","0","4","34","178","incongruent","blue",1,1646,11,11,4
"179","0","4","35","179","congruent","green",1,413,49,49,9
"180","0","4","36","180","incongruent","green",1,398,-29,29,4
"181","0","4","37","181","incongruent","red",1,483,-5,5,4
"182","0","4","38","182","congruent","green",0,376,23,23,9
"183","0","4","39","183","congruent","red",1,598,20,20,4
"184","0","4","40","184","incongruent","blue",1,621,-2,2,4
"185","0","4","41","185","incongruent","green",1,524,25,25,11
"186","0","4","42","186","congruent","green",1,469,-33,33,6
"187","0","4","43","187","congruent","blue",1,790,4,4,4
"188","0","4","44","188","incongruent","green",1,598,-9,9,4
"189","0","4","45","189","congruent","red",1,524,-5,5,NA
"190","0","4","46","190","congruent","green",1,367,42,42,4
"191","0","4","47","191","congruent","blue",1,527,0,0,11
"192","0","4","48","192","incongruent","green",1,553,-21,21,9
"193","0","5","1","193","incongruent","blue",1,789,-3,3,9
"194","0","5","2","194","incongruent","blue",1,860,-32,32,9
"195","0","5","3","195","congruent","blue",1,611,3,3,9
"196","0","5","4","196","congruent","red",1,536,2,2,9
"197","0","5","5","197","incongruent","green",1,558,7,7,9
"198","0","5","6","198","incongruent","red",1,738,0,0,9
"199","0","5","7","199","incongruent","green",1,550,0,0,9
"200","0","5","8","200","congruent","red",1,411,5,5,6
"201","0","5","9","201","congruent","red",1,418,-2,2,11
"202","0","5","10","202","congruent","blue",1,432,-7,7,6
"203","0","5","11","203","incongruent","blue",1,510,3,3,9
"204","0","5","12","204","congruent","green",1,479,27,27,0
"205","0","5","13","205","congruent","red",1,537,26,26,9
"206","0","5","14","206","congruent","blue",1,408,-21,21,9
"207","0","5","15","207","congruent","red",1,534,-14,14,9
"208","0","5","16","208","incongruent","green",1,625,-18,18,4
"209","0","5","17","209","congruent","green",1,483,-60,60,8
"210","0","5","18","210","incongruent","red",1,450,2,2,9
"211","0","5","19","211","incongruent","red",1,528,28,28,9
"212","0","5","20","212","incongruent","green",1,495,-21,21,9
"213","0","5","21","213","incongruent","blue",1,418,-2,2,13
"214","0","5","22","214","incongruent","green",1,555,5,5,11
"215","0","5","23","215","congruent","red",1,595,0,0,11
"216","0","5","24","216","incongruent","red",1,352,2,2,NA
"217","0","5","25","217","congruent","blue",1,604,5,5,11
"218","0","5","26","218","incongruent","green",1,363,-31,31,NA
"219","0","5","27","219","congruent","red",1,444,-7,7,6
"220","0","5","28","220","incongruent","red",1,463,30,30,4
"221","0","5","29","221","congruent","green",1,557,-20,20,6
"222","0","5","30","222","congruent","green",1,371,32,32,8
"223","0","5","31","223","congruent","green",1,420,5,5,15
"224","0","5","32","224","congruent","green",1,412,-2,2,6
"225","0","5","33","225","incongruent","red",1,502,-7,7,6
"226","0","5","34","226","incongruent","blue",0,498,80,80,13
"227","0","5","35","227","congruent","blue",1,535,28,28,13
"228","0","5","36","228","incongruent","red",1,582,3,3,11
"229","0","5","37","229","incongruent","red",1,539,-7,7,11
"230","0","5","38","230","incongruent","green",1,508,12,12,8
"231","0","5","39","231","congruent","blue",1,430,-4,4,9
"232","0","5","40","232","incongruent","blue",1,420,48,48,6
"233","0","5","41","233","congruent","green",1,411,-6,6,9
"234","0","5","42","234","incongruent","green",1,424,4,4,11
"235","0","5","43","235","congruent","blue",1,533,5,5,17
"236","0","5","44","236","incongruent","blue",1,478,10,10,11
"237","0","5","45","237","congruent","blue",1,413,-19,19,13
"238","0","5","46","238","congruent","red",1,428,-16,16,6
"239","0","5","47","239","incongruent","blue",1,578,-4,4,9
"240","0","5","48","240","congruent","green",1,526,-46,46,NA
