"","SubjIdx","BlockIndex","BlockTrial","TrialIndex","Condition","Cue","Correct","Rt","Error","AbsError","UncertaintyImage"
"132","0","3","36","132","incongruent","bedroom",1,852,-30,30,15
"133","0","3","37","133","incongruent","bedroom",1,1268,30,30,19
"134","0","3","38","134","incongruent","bedroom",1,1406,34,34,15
"135","0","3","39","135","incongruent","restaurant",1,1712,-3,3,15
"136","0","3","40","136","incongruent","bedroom",1,1287,2,2,NA
"137","0","3","41","137","incongruent","bedroom",1,1155,-8,8,NA
"138","0","3","42","138","incongruent","bedroom",1,773,16,16,17
"139","0","3","43","139","incongruent","bedroom",1,1419,-23,23,18
"140","0","3","44","140","incongruent","dinningroom",1,1006,-3,3,20
"141","0","3","45","141","incongruent","restaurant",1,769,6,6,13
"142","0","3","46","142","incongruent","bedroom",1,624,-3,3,11
"143","0","3","47","143","incongruent","dinningroom",1,826,-24,24,18
"144","0","3","48","144","congruent","restaurant",1,998,-6,6,11
"145","0","4","1","145","incongruent","bedroom",1,1261,42,42,23
"146","0","4","2","146","incongruent","restaurant",1,1559,2,2,17
"147","0","4","3","147","incongruent","dinningroom",1,992,-4,4,11
"148","0","4","4","148","incongruent","dinningroom",1,777,-22,22,13
"149","0","4","5","149","congruent","dinningroom",1,1630,10,10,15
"150","0","4","6","150","incongruent","bedroom",1,821,-12,12,19
"151","0","4","7","151","incongruent","restaurant",1,1302,-4,4,18
"152","0","4","8","152","incongruent","bedroom",1,1381,9,9,21
"153","0","4","9","153","congruent","restaurant",0,750,5,5,13
"154","0","4","10","154","incongruent","dinningroom",1,1096,7,7,13
"155","0","4","11","155","incongruent","dinningroom",0,1079,-1,1,13
"156","0","4","12","156","incongruent","restaurant",1,1019,-24,24,13
"157","0","4","13","157","incongruent","restaurant",1,1257,-11,11,18
"158","0","4","14","158","congruent","restaurant",0,1111,3,3,15
"159","0","4","15","159","incongruent","bedroom",1,1624,9,9,17
"160","0","4","16","160","incongruent","dinningroom",1,1103,-7,7,18
"161","0","4","17","161","congruent","dinningroom",1,1199,23,23,18
"162","0","4","18","162","congruent","dinningroom",1,630,1,1,11
"163","0","4","19","163","incongruent","dinningroom",1,1043,-10,10,17
"164","0","4","20","164","incongruent","dinningroom",1,1118,2,2,15
"165","0","4","21","165","incongruent","dinningroom",1,879,1,1,11
"166","0","4","22","166","congruent","bedroom",1,780,3,3,11
"167","0","4","23","167","incongruent","dinningroom",1,969,10,10,13
"168","0","4","24","168","incongruent","bedroom",1,736,-28,28,13
"169","0","4","25","169","congruent","restaurant",1,1316,-16,16,15
"170","0","4","26","170","incongruent","restaurant",1,992,18,18,13
"171","0","4","27","171","incongruent","bedroom",1,759,8,8,9
"172","0","4","28","172","incongruent","restaurant",1,1280,-45,45,18
"173","0","4","29","173","incongruent","dinningroom",1,898,-11,11,13
"174","0","4","30","174","incongruent","bedroom",1,703,-36,36,11
"175","0","4","31","175","congruent","dinningroom",1,869,0,0,18
"176","0","4","32","176","incongruent","bedroom",1,810,2,2,13
"177","0","4","33","177","incongruent","bedroom",1,1651,10,10,19
"178","0","4","34","178","incongruent","dinningroom",1,775,-7,7,15
"179","0","4","35","179","incongruent","restaurant",1,953,5,5,15
"180","0","4","36","180","congruent","restaurant",1,1112,-2,2,19
"181","0","4","37","181","congruent","restaurant",1,1088,7,7,13
"182","0","4","38","182","congruent","bedroom",1,917,-4,4,13
"183","0","4","39","183","congruent","restaurant",1,1043,0,0,20
"184","0","4","40","184","incongruent","dinningroom",1,892,-2,2,9
"185","0","4","41","185","incongruent","bedroom",1,1258,-22,22,20
"186","0","4","42","186","congruent","restaurant",1,912,-8,8,17
"187","0","4","43","187","congruent","bedroom",0,NA,11,11,NA
"188","0","4","44","188","congruent","bedroom",1,970,3,3,18
"189","0","4","45","189","incongruent","restaurant",1,1548,3,3,NA
"190","0","4","46","190","incongruent","bedroom",1,969,-11,11,NA
"191","0","4","47","191","congruent","restaurant",1,924,10,10,15
"192","0","4","48","192","incongruent","bedroom",1,814,10,10,15
"193","0","5","1","193","congruent","restaurant",1,922,-9,9,13
"194","0","5","2","194","incongruent","restaurant",1,875,7,7,20
"195","0","5","3","195","incongruent","dinningroom",1,938,1,1,11
"196","0","5","4","196","incongruent","dinningroom",1,920,13,13,11
"197","0","5","5","197","incongruent","dinningroom",1,831,-21,21,11
"198","0","5","6","198","congruent","bedroom",0,1118,-3,3,15
"199","0","5","7","199","incongruent","restaurant",1,869,-16,16,15
"200","0","5","8","200","incongruent","dinningroom",1,825,-2,2,13
"201","0","5","9","201","incongruent","dinningroom",1,639,-3,3,15
"202","0","5","10","202","congruent","restaurant",0,834,139,139,0
"203","0","5","11","203","congruent","dinningroom",0,NA,-24,24,13
"204","0","5","12","204","incongruent","dinningroom",1,735,2,2,19
"205","0","5","13","205","incongruent","bedroom",1,653,143,143,13
"206","0","5","14","206","congruent","restaurant",1,1306,-2,2,11
"207","0","5","15","207","incongruent","restaurant",1,831,-2,2,13
"208","0","5","16","208","incongruent","bedroom",1,607,-13,13,13
"209","0","5","17","209","congruent","bedroom",1,758,1,1,13
"210","0","5","18","210","incongruent","bedroom",1,686,-11,11,11
"211","0","5","19","211","congruent","bedroom",0,NA,-1,1,13
"212","0","5","20","212","incongruent","dinningroom",1,852,3,3,13
"213","0","5","21","213","incongruent","bedroom",1,1389,38,38,11
